Ligand,Receptor,Pathway Name,TP,TN,FP,FN,Precision,Recall,F1 Score,Distance,Receptor %
Ntn1,Flrt2,Pathway 2,122,1055,383,0,0.24158415841584158,1.0,0.38915470494417864,25,0.18171296666964964
Ntn1,Flrt2,Pathway 2,122,1055,383,0,0.24158415841584158,1.0,0.38915470494417864,50,0.1822337968871415
Ntn1,Flrt2,Pathway 2,122,1055,383,0,0.24158415841584158,1.0,0.38915470494417864,75,0.18032786885245927
Ntn1,Flrt2,Pathway 2,122,1055,383,0,0.24158415841584158,1.0,0.38915470494417864,100,0.18032786885245927
Ntn1,Dcc,Pathway 2,122,1350,88,0,0.580952380952381,1.0,0.7349397590361446,25,0.11162825006184057
Ntn1,Dcc,Pathway 2,122,1350,88,0,0.580952380952381,1.0,0.7349397590361446,50,0.10972030504505106
Ntn1,Dcc,Pathway 2,122,1350,88,0,0.580952380952381,1.0,0.7349397590361446,75,0.1147540983606558
Ntn1,Dcc,Pathway 2,122,1350,88,0,0.580952380952381,1.0,0.7349397590361446,100,0.1147540983606558
Ntn1,Dscam,Pathway 2,122,1411,27,0,0.8187919463087249,1.0,0.900369003690037,25,0.024877456941224972
Ntn1,Dscam,Pathway 2,122,1411,27,0,0.8187919463087249,1.0,0.900369003690037,50,0.024947373038144358
Ntn1,Dscam,Pathway 2,122,1411,27,0,0.8187919463087249,1.0,0.900369003690037,75,0.024590163934426253
Ntn1,Dscam,Pathway 2,122,1411,27,0,0.8187919463087249,1.0,0.900369003690037,100,0.024590163934426253
Ntn1,Draxin,Pathway 2,122,1413,25,0,0.8299319727891157,1.0,0.9070631970260223,25,0.023139405813054195
Ntn1,Draxin,Pathway 2,122,1413,25,0,0.8299319727891157,1.0,0.9070631970260223,50,0.02500166207730124
Ntn1,Draxin,Pathway 2,122,1413,25,0,0.8299319727891157,1.0,0.9070631970260223,75,0.024590163934426253
Ntn1,Draxin,Pathway 2,122,1413,25,0,0.8299319727891157,1.0,0.9070631970260223,100,0.024590163934426253
Ntn1,Neo1,Pathway 2,4,980,458,118,0.008658008658008658,0.03278688524590164,0.0136986301369863,25,0.34431717708180554
Ntn1,Neo1,Pathway 2,0,980,458,122,0.0,0.0,0,50,0.3387910286307442
Ntn1,Neo1,Pathway 2,0,980,458,122,0.0,0.0,0,75,0.34426229508196704
Ntn1,Neo1,Pathway 2,0,980,458,122,0.0,0.0,0,100,0.34426229508196704
Ntn1,Unc5a,Pathway 2,122,1421,17,0,0.8776978417266187,1.0,0.9348659003831418,25,0.015567537965552868
Ntn1,Unc5a,Pathway 2,122,1421,17,0,0.8776978417266187,1.0,0.9348659003831418,50,0.016878946349119767
Ntn1,Unc5a,Pathway 2,122,1421,17,0,0.8776978417266187,1.0,0.9348659003831418,75,0.01639344262295078
Ntn1,Unc5a,Pathway 2,122,1421,17,0,0.8776978417266187,1.0,0.9348659003831418,100,0.01639344262295078
Ntn1,Unc5b,Pathway 2,90,1115,323,32,0.2179176755447942,0.7377049180327869,0.3364485981308411,25,0.23706308846919416
Ntn1,Unc5b,Pathway 2,122,1115,323,0,0.27415730337078653,1.0,0.4303350970017637,50,0.23065650272009544
Ntn1,Unc5b,Pathway 2,122,1115,323,0,0.27415730337078653,1.0,0.4303350970017637,75,0.2295081967213114
Ntn1,Unc5b,Pathway 2,122,1115,323,0,0.27415730337078653,1.0,0.4303350970017637,100,0.2295081967213114
Ntn1,Unc5c,Pathway 2,122,1216,222,0,0.3546511627906977,1.0,0.5236051502145923,25,0.10964451635194655
Ntn1,Unc5c,Pathway 2,122,1216,222,0,0.3546511627906977,1.0,0.5236051502145923,50,0.10535968733676791
Ntn1,Unc5c,Pathway 2,122,1216,222,0,0.3546511627906977,1.0,0.5236051502145923,75,0.10655737704918053
Ntn1,Unc5c,Pathway 2,122,1216,222,0,0.3546511627906977,1.0,0.5236051502145923,100,0.10655737704918053
Ntn4,Flrt2,Pathway 2,46,1113,401,0,0.1029082774049217,1.0,0.18661257606490872,25,0.07883007748639362
